GID	control_0h	experimental_1h	experimental_2h	experimental_4h	control_1h	control_2h	control_4h	experimental_0h
Cre01.g010750	5.95967	15.4761	9.03931	6.71329	17.3852	10.1696	5.82969	14.575
Cre01.g010800	2.43062	5.02131	3.1708	2.57363	5.1666	3.30251	2.63946	4.66029
Cre01.g010816	5.90626	7.99389	3.46517	5.02343	4.6154	2.78943	2.95201	4.37805
Cre01.g010832	4.64212	0.216338	0.0909242	8.47008	0.193796	0.119956	1.84588	0.205566
Cre01.g010848	10.939	11.5868	9.06295	10.1473	10.7297	6.89799	14.8598	11.8852
Cre01.g010864	3.33834	2.14248	1.45378	2.23448	1.48666	0.723932	4.656	3.42101
Cre01.g010880	3.28937	3.38187	1.52961	2.85232	2.34457	1.20028	2.39458	3.11287
Cre01.g010900	1183.63	2260.67	1862.39	1198.94	2208.01	2016.37	1364.88	2653.06
Cre01.g010950	2.56582	2.19107	1.21177	3.06135	2.69629	1.27714	2.55049	2.45471
Cre01.g011000	1575.93	1820.26	993.096	1646.83	1940.67	997.005	1419.38	2196.47
Cre01.g011100	20.12	24.3293	8.98004	34.082	32.5684	9.80688	33.0994	40.3851
Cre01.g011150	0.00254339	0.0257788	0.079057	0	0.0181729	0.140765	0	0.0245328
Cre01.g011200	16.1688	26.9303	20.6577	14.2748	22.1059	17.8599	17.2983	21.9887
Cre01.g011250	0.671658	0.352852	0.259221	0.5034	0.209896	0.269513	0.396518	0.342771
Cre01.g011300	37.3504	39.6114	13.1787	46.2917	48.3628	16.843	52.9609	36.7019
Cre01.g011350	16.4883	18.3119	13.3898	12.9356	15.9388	11.2506	14.253	17.9211
Cre01.g011400	1.96259	5.31261	2.50224	1.9794	4.81134	2.60526	1.59532	3.7592
Cre01.g011450	10.3899	18.9183	10.8542	12.1296	22.3101	11.789	11.7021	23.629
Cre01.g011500	76.1016	145.871	68.1593	84.4767	108.002	72.394	62.7838	76.5724
Cre01.g011550	0.30611	1.06991	0.522929	0.388977	0.680358	0.378353	0.151596	0.414191
Cre01.g011600	9.04456	27.6567	18.0722	9.06667	37.2525	19.6538	10.2225	35.5885
Cre01.g011630	48.557	32.7475	34.0473	43.3552	23.6465	40.9022	44.8854	4.52737
Cre01.g011660	13.0734	7.43826	12.8937	15.9409	5.70067	12.9385	21.1523	1.2593
Cre01.g011750	1.76301	2.94297	1.80673	1.90413	3.12236	2.05354	1.96615	2.22513
Cre01.g011800	0.218242	3.69934	1.36603	0.352909	4.47059	1.25173	0.440385	6.25682
Cre01.g011850	1.57813	5.03347	2.86603	1.54744	6.00379	2.79613	2.28643	7.48853
Cre01.g011901	0.658565	2.15153	1.13813	0.706029	1.68601	1.09536	0.701534	1.75643
Cre01.g012000	0.146694	0.146377	0.0586736	0.114671	0.123165	0.0746044	0.166429	0.188408
Cre01.g012050	0.0160393	0.621839	1.15876	0.0286337	0.596799	0.60819	0.0781581	0.706737
Cre01.g012100	0.0573286	0.232119	0.0727328	0.0348799	0.115783	0.0902982	0.156217	0.10473
Cre01.g012126	1.46367	0.883284	0.850489	1.46519	1.25831	1.48333	1.4756	0.363368
Cre01.g012150	42.6693	52.0342	33.5005	38.7781	49.0725	30.9316	61.7345	45.6154
Cre01.g012200	10.4833	11.2701	7.4473	11.1895	12.9506	7.82272	11.8047	14.7167
Cre01.g012300	40.6648	71.2116	37.7317	36.4173	60.0361	34.1955	37.9693	58.8317
Cre01.g012350	8.7758	9.84397	8.20361	6.51094	10.5589	7.06302	5.99821	10.5334
Cre01.g012400	2.53901	7.08016	2.87759	3.15944	9.6726	3.31872	4.50462	15.4176
Cre01.g012450	30.4413	53.2356	23.7392	35.3342	54.8677	26.1215	32.9062	45.0025
Cre01.g012500	95.7722	177.161	72.5291	128.778	203.909	82.948	98.7134	141.46
Cre01.g012550	0.643174	1.71647	0.670222	0.429844	1.63314	0.566359	0.513403	1.73284
Cre01.g012600	2.52862	8.60095	3.36744	2.57863	6.22788	3.31608	3.81444	4.93009
Cre01.g012650	0.0120841	0.018445	0.00786219	0.0321203	0.0214306	0.0182211	0.0186669	0.0165388
Cre01.g012700	0	0.214531	0.775426	0.00643214	0.250213	1.38727	0.00902824	0.058976
Cre01.g012750	0.891996	2.42508	1.35131	0.742524	3.33125	1.37707	1.01249	3.26423
Cre01.g012800	4.19497	13.8584	4.65904	3.91925	11.6236	4.31564	2.71253	11.8696
Cre01.g012850	0.0179223	0.644604	0.443239	0.0524192	0.865786	0.636715	0.0120364	0.238779
Cre01.g012900	3.01025	5.85757	3.61404	3.33647	6.81779	4.04091	3.95859	6.0589
Cre01.g012950	0.0931064	0.730367	1.03418	0.181045	1.20483	1.61183	0.16159	0.513072
Cre01.g013000	1.49829	0.609824	0.232902	1.483	0.990562	0.323206	1.96543	1.08507
Cre01.g013050	2.93076	6.9903	3.35206	3.40538	8.54282	3.70013	6.60527	13.5577
Cre01.g013100	36.7807	23.3857	5.16407	39.2523	17.1953	5.40942	25.871	1.83849
Cre01.g013150	15.2775	65.8569	33.1119	14.5666	55.2244	34.6217	12.7024	37.304
Cre01.g013200	28.0882	42.3338	19.7697	30.3268	38.4814	19.4644	24.1957	27.9653
Cre01.g013250	4.66108	8.48224	4.69467	5.06803	8.87164	4.7864	5.18375	6.5388
Cre01.g013300	16.3075	37.2874	15.2899	16.1778	37.9862	15.6479	15.7002	36.7343
Cre01.g013350	174.398	383.449	467.483	170.566	514.5	420.063	240.643	477.413
Cre01.g013400	1.94579	5.13182	1.93627	2.05132	4.98637	1.67264	1.99533	5.91355
Cre01.g013450	0.957853	0.495024	0.182273	1.42525	0.657056	0.182997	1.1704	0.860623
Cre01.g013500	0.597483	4.06622	4.67689	1.1522	6.19832	6.08497	0.986469	4.03648
Cre01.g013550	3.83916	5.81887	3.99038	3.56537	5.26924	3.93788	3.87641	6.15499
Cre01.g013600	43.6134	60.5544	34.9296	46.4843	56.923	38.0669	31.6316	38.0497
Cre01.g013650	4.37666	6.93454	3.88306	3.60838	5.57565	3.49137	3.01062	6.11329
Cre01.g013700	324.491	588.83	268.908	352.217	530.121	305.929	304.727	401.827
Cre01.g013750	1.96422	4.28536	1.77254	1.764	3.31738	1.50101	1.90797	3.09857
Cre01.g013769	8.86958	17.245	6.52074	8.28297	11.3338	6.0273	6.5486	10.5998
Cre01.g013800	5.06716	6.8633	6.44015	4.33708	6.54404	5.9517	4.16044	5.81968
Cre01.g013801	6.21161	10.5692	5.81146	6.1395	12.5197	6.85354	7.09893	9.58611
Cre01.g013850	2.40051	5.47229	2.45719	2.42702	5.79338	2.68926	2.24923	5.60656
Cre01.g013900	7.33046	2.05933	0.167306	6.82106	1.92348	0.172995	7.20754	2.18409
Cre01.g014000	47.3895	59.6259	45.7652	41.1329	65.1038	38.0805	66.8326	67.3092
Cre01.g014050	53.5252	67.5853	48.8864	47.9976	63.9957	39.4247	44.184	52.2764
Cre01.g014100	3.36608	3.99183	3.10095	2.95457	5.27069	3.45744	2.95171	3.1951
Cre01.g014150	3.65854	7.41007	3.04174	3.90162	6.82277	2.94199	4.67358	8.05425
Cre01.g014200	1.22316	2.95816	1.68366	1.0075	3.34411	1.78242	0.846101	2.607
Cre01.g014250	6.93156	11.1058	7.4343	6.9643	15.8167	8.01219	6.26819	12.5364
Cre01.g014300	6.30818	10.7429	5.90839	5.93941	9.5625	5.2735	5.00299	9.41322
Cre01.g014350	209.503	285.908	174.417	210.814	306.737	183.041	218.904	173.176
Cre01.g014400	4.52828	3.78618	1.13297	5.33948	7.78432	1.89512	6.10312	3.37443
Cre01.g014450	1.92698	5.63317	2.34973	1.82776	6.84949	2.27582	1.77887	7.82158
Cre01.g014500	3.79818	8.04879	5.35728	3.51847	7.64954	4.8844	3.99469	8.06368
Cre01.g014650	26.5615	24.6258	10.954	25.657	25.5089	10.592	26.5035	26.8708
Cre01.g014700	9.33228	12.7672	6.27908	9.20863	12.6088	6.69196	9.82982	13.4895
Cre01.g014751	0.0269853	1.48245	1.18188	0	1.15223	0.842887	0	1.06328
Cre01.g014800	2.6089	4.25042	1.99141	2.58007	4.18161	2.26727	3.19759	5.43649
Cre01.g014850	11.2333	21.9589	12.7968	11.4083	17.7514	13.2692	11.3128	12.3095
Cre01.g014900	3.16137	8.67549	6.17795	3.20334	9.06842	6.64731	3.09399	11.0118
Cre01.g014950	4.17524	7.54932	3.87551	4.99606	9.37164	4.52085	5.34579	11.1753
Cre01.g015000	35.2704	46.7967	33.6285	35.5794	47.3644	35.348	38.3629	32.1041
Cre01.g015050	4.71094	6.41728	3.89721	4.91304	6.23588	4.19502	4.88565	5.36909
Cre01.g015100	0	0	0	0	0	0	0	0
Cre01.g015103	1.93317	2.71631	1.34542	1.85074	2.99171	1.31734	2.00684	3.74768
Cre01.g015150	2.05991	1.49626	0.519719	1.87819	1.32324	0.67428	2.34951	1.27282
Cre01.g015200	0.721925	3.83876	0.744662	0.786968	3.91627	0.728999	0.837013	4.77368
Cre01.g015250	16.3555	35.3695	14.3266	14.8501	19.4424	12.0666	9.04675	14.1621
Cre01.g015300	1.33451	1.91048	1.26914	0.907261	1.61934	1.07556	1.24555	2.49924
Cre01.g015350	213.878	257.927	308.038	198.513	333.72	225.484	256.643	265.045
Cre01.g015400	2.85686	9.37635	5.58377	2.66868	10.6966	5.79013	4.05201	16.4891
Cre01.g015451	0.631893	0.986606	0.647812	0.600107	1.36459	0.78717	0.796974	1.50877
Cre01.g015500	14.0352	37.7379	18.6852	18.7735	57.2514	24.1636	16.2308	53.7196
Cre01.g015550	2.3031	3.42745	1.17958	2.0955	4.10306	1.33466	3.27643	5.33755
Cre01.g015600	13.4205	15.4133	10.4934	13.3327	15.1272	10.4824	9.89258	7.74912
Cre01.g015650	10.7308	15.986	11.329	8.551	12.2307	9.37111	9.59115	6.96496
Cre01.g015700	4.35284	5.58222	3.06117	2.93	5.15367	2.56286	5.09784	6.74894
Cre01.g015750	14.0019	28.9624	12.3345	11.3956	22.2802	10.1874	13.6738	26.7119
Cre01.g015850	8.57474	39.3108	11.3828	8.16243	36.1449	9.56368	6.92441	34.7313
Cre01.g015950	16.5616	27.868	14.1454	15.1789	25.8928	12.2375	17.1909	34.0847
Cre01.g016001	0.654974	1.05901	0.743604	0.653843	1.21521	0.791564	0.493915	1.28764
Cre01.g016050	91.5066	133.159	73.2671	96.0159	122.24	77.8134	76.9223	77.9463
Cre01.g016100	0.040839	0.0745091	0.0462892	0.00523083	0.0595338	0	0.0508353	0.0421443
Cre01.g016150	11.6319	5.38264	3.76957	11.4625	3.92486	3.62868	15.5447	4.04527
Cre01.g016200	2.84755	5.33768	3.18445	3.20665	7.05112	3.88548	3.79385	8.88066
Cre01.g016250	1.97694	4.79473	2.81827	2.91404	5.28254	2.51169	2.37921	7.2476
Cre01.g016300	75.3385	162.456	65.1944	139.634	295.113	70.5447	132.132	253.542
Cre01.g016350	5.51267	19.3197	7.5235	6.57486	19.8951	7.74667	8.48965	26.9124
Cre01.g016400	31.5199	96.6957	53.4804	33.67	113.44	56.0501	19.4247	85.5906
Cre01.g016450	3.23412	1.98971	1.22292	3.0548	2.25071	1.3449	2.72448	1.12921
Cre01.g016500	43.6363	73.0442	49.9827	40.8104	73.6824	52.6877	52.7655	70.2548
Cre01.g016514	59.2893	100.6	67.2321	55.5433	95.0817	68.2324	67.2583	87.231
Cre01.g016528	25.9984	21.9806	12.2963	23.0721	23.4296	12.8895	19.2783	16.8415
Cre01.g016542	0.0604606	0.00793126	0.00818293	0.0581574	0.0779204	0.00809392	0.0359446	0.0892042
Cre01.g016556	33.6345	60.9571	31.6016	37.2071	58.7299	33.6701	30.4261	45.5574
Cre01.g016570	4.92793	8.40764	4.31331	5.94344	8.81567	4.23722	5.58981	7.79712
Cre01.g016600	0.049387	1.59258	2.00157	0.0221056	0.700744	1.23491	0.0313802	1.34936
Cre01.g016700	5.05132	10.7852	4.80989	4.15376	13.0911	4.95086	7.41699	12.9426
Cre01.g016750	0.0265481	0.576441	0.882405	0.0162129	0.438658	0.562198	0.074125	0.666175
Cre01.g016800	1.75113	5.00798	2.69697	1.45245	3.3299	2.33062	1.95719	4.66188
Cre01.g016850	240.307	347.533	199.807	234.813	347.804	187.609	174.465	206.841
Cre01.g016900	125.838	232.3	78.8748	141.201	317.307	85.1533	147.57	300.761
Cre01.g016950	7.57028	15.1825	7.23746	6.73975	13.1418	7.6867	6.51001	12.5821
Cre01.g017050	14.282	26.4365	13.5881	13.5442	23.2889	13.0192	12.838	21.2067
Cre01.g017100	3.06142	5.48703	3.01141	2.61809	3.67615	2.39515	3.10273	4.02048
Cre01.g017150	0.602157	0.957183	0.335836	0.451569	0.546826	0.283908	0.278016	0.545352
Cre01.g017200	6.91902	10.108	5.34226	7.07508	11.1821	6.32964	7.0969	9.59285
Cre01.g017250	7.13023	14.898	8.06876	6.28911	11.8542	6.9321	5.6505	14.0595
Cre01.g017300	240.173	287.12	187.172	200.88	286.676	146.876	325.235	311.897
Cre01.g017350	0.918136	1.20637	1.40735	0.73048	1.05143	1.13043	1.78975	1.2788
Cre01.g017400	3.72731	11.96	3.58197	4.34531	15.7039	4.46199	3.7409	11.5382
Cre01.g017450	8.01434	21.4748	9.51456	7.00312	10.9278	7.91295	3.6037	7.58196
Cre01.g017500	21.9011	43.5173	22.5665	24.1737	58.0071	24.619	17.6261	49.7748
Cre01.g017550	1.03833	1.19702	0.334655	1.60432	1.96055	0.512893	0.905456	0.989317
Cre01.g017600	18.2378	1.64435	0.270904	16.7788	2.00616	0.2669	24.3524	1.51628
Cre01.g017650	21.3351	3.09331	0.385202	22.6098	3.4767	0.288617	15.5894	3.77759
Cre01.g017850	1.6218	0.00517933	0.00495311	2.00758	0	0.00552715	2.01026	0
Cre01.g017900	2.59734	0.0944563	0.0190549	2.29157	0.117279	0.0360302	3.33527	0.060152
Cre01.g017951	1.4167	0.345835	0.0949948	1.65026	0.680001	0.111396	1.19802	0.243028
Cre01.g018000	23.1327	35.6935	24.5699	19.2133	31.0143	21.9834	17.0974	23.7323
Cre01.g018050	10.9668	17.7253	9.75492	12.1545	16.1448	10.7496	10.5334	10.5928
Cre01.g018075	2.42651	7.49778	2.34208	2.54711	8.71613	1.93689	2.91738	10.0456
Cre01.g018100	3.61326	5.71237	3.5734	3.24603	5.67029	3.75657	4.62263	9.04029
Cre01.g018150	3.62532	7.93495	3.83764	3.62016	9.5129	5.3204	3.65763	11.2053
Cre01.g018200	7.68256	11.8678	6.88686	7.97228	11.1444	7.74729	6.9511	9.72654
Cre01.g018350	8.60626	58.4133	27.2006	7.7499	52.9442	25.3106	7.90351	46.7639
Cre01.g018400	10.8875	17.376	9.34326	12.8342	21.9865	10.1311	11.4264	17.4571
Cre01.g018450	5.74798	7.82197	3.59193	5.65894	6.47551	3.20052	6.5373	6.26736
Cre01.g018500	1.80022	2.93616	1.84184	1.71198	3.20385	1.47534	3.16158	8.24545
Cre01.g018550	4.87075	7.61191	2.83511	4.63831	7.91148	2.71246	4.81208	9.44171
Cre01.g018600	26.5236	77.9156	41.1876	36.1089	98.6481	51.1241	31.9261	72.4361
Cre01.g018650	9.55683	18.4958	13.0538	9.66337	23.0704	15.0203	9.50027	19.6813
Cre01.g018700	1.45938	4.71358	1.08491	1.45471	4.4651	0.755368	1.12147	6.40528
Cre01.g018750	1.82425	4.15368	1.64043	1.63069	4.55298	1.39208	1.81176	5.84483
Cre01.g018800	203.741	314.96	166.568	224.115	351.439	204.802	175.926	173.46
Cre01.g018850	2.67675	5.94443	3.41568	3.30874	7.05148	3.39052	3.48291	7.66306
Cre01.g018900	4.12715	5.95262	4.11345	4.7829	8.37235	5.02966	4.318	7.47501
Cre01.g018950	36.5442	40.1713	31.9143	32.624	41.2019	28.7348	33.4892	34.9793
Cre01.g019000	8.41203	7.01736	10.6576	9.33771	9.58051	12.5079	13.5688	10.3449
Cre01.g019051	0.00531706	0	0.0116206	0.0204783	0.0204716	0.0306287	0.00646769	0.011829
Cre01.g019100	4.09885	5.20229	3.33591	3.60508	4.96582	2.65537	4.35182	4.73565
Cre01.g019150	3.43315	13.7253	5.3975	2.98281	8.77414	5.46653	1.8099	8.63993
Cre01.g019200	14.71	36.7823	35.2142	10.7577	30.5182	26.4442	8.41232	29.2696
Cre01.g019250	183.459	990.544	476.082	203.771	853.5	501.45	184.76	408.528
Cre01.g019300	0.610012	4.80121	1.60302	1.04	6.70136	1.82994	0.842817	7.62072
Cre01.g019400	0.386414	0	0	0.240458	0	0	0.15445	0
Cre01.g019450	12.5965	42.0936	15.9701	11.0759	26.8415	12.5184	8.66357	27.968
Cre01.g019500	6.53776	25.4699	12.3982	7.04264	24.761	10.9448	7.1377	22.1771
Cre01.g019550	0.128331	6.97055	1.98676	0.0478785	11.168	1.60426	0.0731581	12.4291
Cre01.g019600	26.5965	291.269	124.156	27.5368	268.163	138.915	25.291	184.523
Cre01.g019650	6.85916	21.2047	10.9085	7.8322	24.3221	12.2558	9.00759	14.3466
Cre01.g019700	1.99374	11.3878	4.5433	1.77305	8.12594	4.29194	1.28798	8.33687
Cre01.g019750	15.4198	83.0933	34.3193	14.2729	58.7996	28.3527	13.4327	67.8143
Cre01.g019850	12.366	75.6217	39.2301	15.3656	84.6245	52.4293	15.0137	77.089
Cre01.g019900	1.87193	18.739	6.52302	1.42001	15.2916	5.50102	1.45432	17.1631
Cre01.g019950	0.57403	7.2445	5.35287	0.635546	10.2077	4.14245	0.12674	2.96844
Cre01.g020000	0.00612106	0.155306	0.0332462	0	0.244273	0.0594768	0.0117372	0.178582
Cre01.g020050	2.51577	14.0157	5.64109	1.75904	7.87844	5.08795	1.45337	11.7789
Cre01.g020100	0.00609892	0.0336762	0.0269747	0.00425001	0.0380741	0.0322205	0.00375702	0.0419078
Cre01.g020182	2.36325	27.3127	11.3608	1.85389	28.8663	11.9464	1.62464	19.1246
Cre01.g020223	0.134192	5.94525	3.13938	0.333389	6.92262	3.4195	2.34294	10.8233
Cre01.g020264	2.16372	12.7636	6.52438	2.32435	14.8505	7.69708	3.71263	18.5679
Cre01.g020305	91.1288	165.644	24.2885	97.8059	191.762	33.0557	67.6273	179.141
Cre01.g020350	132.311	974.625	429.593	146.738	1077.88	519.235	111.059	737.101
Cre01.g020400	15.9288	74.3574	35.336	13.8912	62.2643	34.618	14.3876	49.922
Cre01.g020450	0.745331	1.1477	0	0.325148	0.554428	0.762036	0	0.729954
Cre01.g020500	0	0	0	0	0	0	0	0
Cre01.g020575	0.747408	6.8457	2.93985	0.705428	4.62338	2.59763	0.635998	5.48319
Cre01.g020650	1.17001	12.4546	5.97399	1.29089	11.4782	6.30795	1.10064	10.8626
Cre01.g020701	0.735025	2.72507	1.23442	1.15986	4.66441	1.47735	0.554156	2.57428
Cre01.g020750	12.2843	96.1162	61.0667	15.5502	111.174	71.3005	15.1766	116.943
Cre01.g020800	3.93925	32.6587	8.94413	4.12831	34.4058	9.14911	4.5474	41.2599
Cre01.g020850	0.62218	1.62367	1.49242	0.509998	1.45563	1.35265	0.308777	1.7219
Cre01.g020887	1.70333	8.83073	2.72676	1.82881	10.6368	2.8699	1.66348	11.1202
Cre01.g020918	33.976	217.388	101.997	38.513	249.98	132.326	49.4285	183.911
Cre01.g020950	41.1003	130.507	89.9798	34.7049	128.718	77.5384	30.084	116.51
Cre01.g021000	0.317696	1.53559	0.911456	0.287338	1.76135	0.857189	0.311785	1.72952
Cre01.g021050	8.7945	38.7747	32.7895	8.02531	41.9383	34.2198	9.5447	26.7551
Cre01.g021100	0.483758	2.61906	1.5317	0.465505	2.98621	1.69341	0.516182	2.95449
Cre01.g021150	7.09501	31.6695	20.9421	6.26829	33.2284	18.9536	6.11635	35.8108
Cre01.g021200	0.622544	5.24659	3.76352	0.741802	6.63949	4.61942	0.588876	7.23965
Cre01.g021251	42.8949	221.589	127.289	47.0804	289.234	153.293	48.9107	169.187
Cre01.g021300	0	0	0.0126352	0	0	0.0145968	0	0.0142302
Cre01.g021350	17.8601	159.341	79.5245	18.2055	154.143	83.174	31.43	186.722
Cre01.g021400	5.37331	38.384	21.8085	5.05645	36.5578	22.4469	4.76304	35.2364
Cre01.g021450	10.5523	50.7965	24.2928	11.5134	45.7845	28.1698	9.08757	25.2678
Cre01.g021500	26.5764	243.081	115.006	27.4603	202.575	106.066	22.0955	192.484
Cre01.g021550	2.75839	13.4285	5.94798	2.6659	13.5867	5.79696	2.82474	13.8529
Cre01.g021600	49.5658	55.6481	50.7113	48.2208	77.8375	64.3109	38.8507	46.1826
Cre01.g021650	16.4306	81.1333	46.2453	16.3477	82.6127	42.4837	15.8494	72.8526
Cre01.g021700	16.1952	63.8609	56.701	18.0942	94.8482	58.0447	12.0952	75.253
Cre01.g021750	9.31792	47.5334	33.124	8.40104	42.084	31.4624	7.44968	45.5492
Cre01.g021800	0.083069	0.319572	0.251432	0.0830422	0.118364	0.155599	0.552796	0.16699
Cre01.g021850	1.21209	6.30686	3.23391	1.06692	5.6853	3.0605	0.992228	6.87783
Cre01.g021900	1.15252	3.76575	2.10951	0.928607	3.64463	1.97276	1.03287	4.30925
Cre01.g021950	0.631183	3.94763	1.3778	0.681738	4.01843	1.36391	0.432633	4.06739
Cre01.g022000	1.49515	8.25547	4.21774	1.44793	4.77143	3.78615	0.755878	3.74418
Cre01.g022050	0.0470852	0.116598	0.358918	0	0.0423094	0.21256	0	0.0388621
Cre01.g022100	2.70719	16.5711	10.065	2.77626	17.0916	11.9802	2.95691	18.0102
Cre01.g022150	0.318904	5.54839	2.51194	0.170145	2.51351	1.56221	0.340301	3.694
Cre01.g022200	23.464	145.262	78.9855	22.1562	118.348	72.044	19.6537	176.668
Cre01.g022250	7.08761	21.5482	15.1537	6.558	21.8918	16.1243	7.52389	16.9373
Cre01.g022283	1.49114	8.26272	5.67038	1.25875	8.41127	4.68768	1.53567	7.0905
Cre01.g022350	4.77078	10.8739	9.79569	3.52912	11.2545	8.20211	3.43048	11.5119
Cre01.g022400	1.7525	5.27607	3.36781	1.50015	6.73386	3.69002	1.65873	4.37134
Cre01.g022450	0.103363	1.40205	1.01011	0.175935	1.22017	0.802315	0.170861	2.05336
Cre01.g022462	1.14073	7.73133	5.67216	1.1528	6.39634	4.61296	1.41657	11.6492
Cre01.g022500	6.73673	24.8434	15.2511	7.4168	30.4802	18.0807	9.04278	28.9258
Cre01.g022550	5.45707	42.7122	25.6407	4.5781	25.573	23.1867	2.70913	25.5703
Cre01.g022600	14.7387	58.8114	28.5281	19.3196	68.8613	32.9226	13.4454	48.0987
Cre01.g022650	11.8023	121.094	50.4649	16.3929	145.82	74.0269	19.5483	151.996
Cre01.g022666	1.53653	4.33977	2.17207	1.78745	4.44445	2.30603	2.07582	2.26666
Cre01.g022681	1.44059	4.24907	2.4693	1.65612	4.42326	2.09239	1.86604	3.11451
Cre01.g022700	2.53279	4.52479	3.11185	2.07708	3.69494	3.25505	2.64067	2.57932
Cre01.g022750	2.57213	12.3466	4.50897	2.74102	14.1567	4.25762	2.19544	14.6964
Cre01.g022800	2.88797	15.2622	5.33381	3.5919	18.3402	6.08968	2.20096	14.6624
Cre01.g022850	5.04144	6.09235	3.24461	4.1069	3.29247	2.85225	2.77555	2.79083
Cre01.g022900	0.416712	0.847307	0.638234	0.281235	0.517936	0.524811	0.220173	0.52946
Cre01.g022950	3.17396	1.57476	1.36573	3.64509	1.68979	1.39811	3.73057	1.67934
Cre01.g023000	3.40537	1.44038	1.82445	2.79019	1.39062	1.56495	3.10242	1.44168
Cre01.g023050	15.9853	13.2793	13.985	16.9031	11.6965	14.1661	15.7595	9.42794
Cre01.g023100	6.04645	6.48103	8.71566	5.07828	6.39877	8.86308	4.75816	8.38546
Cre01.g023150	29.6599	32.3303	33.0863	27.1718	16.5949	26.9172	14.1795	11.5645
Cre01.g023200	20.6069	20.2349	19.2984	20.839	20.1006	19.9578	16.1759	18.9138
Cre01.g023250	5.39162	3.59315	4.06553	4.72411	2.62691	3.27052	3.37282	1.78575
Cre01.g023300	3.27804	4.29193	19.7594	4.2304	4.08212	19.9667	5.29623	3.05328
Cre01.g023350	17.2292	25.3028	26.0031	20.1314	25.2102	28.5402	17.7144	20.8474
Cre01.g023400	27.4573	35.6623	35.4033	32.2603	42.8146	40.0062	27.7835	37.6338
Cre01.g023450	2.60114	3.43811	2.73152	2.17712	1.77696	2.52268	1.24618	1.49865
Cre01.g023500	0.544353	0.303955	0.386633	0.477852	0.469857	0.475529	0.5469	0.384341
Cre01.g023550	1.97146	2.44339	2.04639	1.94477	1.949	1.608	1.29917	2.79237
Cre01.g023600	0	0	0	0.00596783	0	0	0	0
Cre01.g023650	0.0298188	0.0246247	0.267361	0.0299973	0.0342894	0.31142	0.0439018	0.00969127
Cre01.g023750	1.4812	1.34071	1.40804	1.67905	1.84246	1.82663	1.65044	1.38435
Cre01.g023773	7.1077	4.50253	5.33777	6.18341	4.3286	4.27696	7.96665	3.72485
Cre01.g023787	33.8346	21.7239	16.3478	38.517	22.3626	15.6273	30.6331	17.9984
Cre01.g023800	1.71915	1.54612	1.6428	1.62867	1.5013	1.44203	1.93414	1.55585
Cre01.g023850	4.27663	3.8678	4.91983	4.29074	3.42608	4.56751	5.22292	3.1244
Cre01.g023913	2.75295	4.80069	2.10654	2.82661	4.90456	1.68427	3.11628	6.11441
Cre01.g023950	1.2001	1.5335	2.00244	1.16533	1.53404	1.74469	1.54759	2.64093
Cre01.g024050	5.36536	4.94601	4.16757	5.64695	5.40061	4.10633	6.10508	9.88213
Cre01.g024100	5.40018	3.38179	4.07161	4.28019	3.13555	3.72352	4.5686	3.35599
Cre01.g024150	35.8581	24.3921	27.6507	32.3565	24.7197	26.9154	34.1865	24.3989
Cre01.g024200	11.235	9.12998	10.3509	10.0859	7.40681	10.2	7.98107	4.84407
Cre01.g024250	2.95305	4.25868	3.54576	3.08849	3.9598	3.88774	3.62277	4.28472
Cre01.g024251	2.3629	2.32537	3.10078	1.82334	2.36542	2.59597	2.35312	3.2278
Cre01.g024300	6.69221	11.4362	11.7082	7.98059	13.5229	13.0744	8.97481	14.1784
Cre01.g024350	119.185	130.361	118.961	141.936	124.297	128.938	118.734	89.8647
Cre01.g024400	4.53937	4.05793	3.46774	4.16121	3.28743	3.6164	3.83481	3.25556
Cre01.g024500	1.34842	1.13641	0.813616	0.930446	0.699225	0.73876	0.634098	0.682688
Cre01.g024550	6.55356	6.66511	6.84025	5.90915	6.02601	6.5325	7.6708	5.24625
Cre01.g024650	12.2701	11.6635	11.4869	12.4994	12.2905	11.4213	11.9448	11.2984
Cre01.g024750	3.81091	5.04847	3.90844	2.69527	5.49688	3.56482	3.15137	4.96828
Cre01.g024800	0.0331803	0.844329	1.08738	0.0497007	0.842744	0.923711	0.0615036	0.698137
Cre01.g024850	6.83963	9.53183	13.8925	6.96321	9.79183	13.0322	8.75571	8.09757
Cre01.g024900	4.13136	5.44094	4.07103	4.91077	5.82166	4.43457	5.15158	4.15663
Cre01.g024950	11.0319	9.98363	10.0808	11.8312	9.5862	10.222	11.6057	9.25419
Cre01.g025000	9.21994	5.35307	4.98186	8.56508	5.76054	4.44865	8.92191	5.67836
Cre01.g025025	13.2553	7.66264	7.21438	14.4077	6.68765	6.28676	12.2815	7.9246
Cre01.g025050	61.9344	58.8815	48.9946	72.8201	75.775	67.4644	48.8143	63.3163
Cre01.g025100	4.19254	4.20767	5.52986	4.15965	4.06252	3.86586	7.29636	6.56059
Cre01.g025150	4.42579	4.22774	5.53792	5.52677	4.19948	5.4567	5.12906	4.06459
Cre01.g025200	0.176276	13.3474	0.313034	0.127544	11.0274	0.269459	0.0547528	0.568096
Cre01.g025250	19.3304	14.7713	16.8574	15.6786	14.6887	16.06	24.6076	20.431
Cre01.g025300	2.56712	1.9771	2.89458	2.08668	1.73363	2.72617	2.42064	1.82688
