gene_id,gene_symbol
Cre01.g040450,HDT1
Cre01.g040600,FAP327
Cre01.g041050,AOC6
Cre01.g042050,MSRB3
Cre01.g042200,PBAS1
Cre01.g042750,ACH1
Cre01.g042800,DVR1
Cre01.g042900,RRM1
Cre01.g043350,CAO1
Cre01.g043650,ODA8
Cre01.g043750,BBS7
Cre01.g044100,AMB3
Cre01.g044800,PFL1
Cre01.g045150,FAP304
Cre01.g045350,DRC5
Cre01.g045550,TPT3
Cre01.g045700,CAT2
Cre01.g045902,HCF101
Cre01.g045903,DGAT1
Cre01.g046150,ICP55
Cre01.g046800,MSP1
Cre01.g046850,UBC13
Cre01.g047265,PHC52
Cre01.g047450,CPLD17
Cre01.g047550,RAB6
Cre01.g047700,CYN40
Cre01.g047750,RPL18A
Cre01.g047800,GRX6
Cre01.g047950,IFT27
Cre01.g048000,TPM1
Cre01.g048050,COAB1
Cre01.g048150,HLA8
Cre01.g048350,CGL53
Cre01.g048400,DZP1
Cre01.g048750,PPR7
Cre01.g048950,PYR5
Cre01.g049000,RAF2
Cre01.g049500,COX2B
Cre01.g049950,VLE1
Cre01.g050050,GUM1
Cre01.g050100,DPD1
Cre01.g050150,NFO1
Cre01.g050400,TIM22C
Cre01.g050451,TTL6
Cre01.g050500,TCB1
Cre01.g050850,PKL1
Cre01.g050950,CHLP1
Cre01.g051050,FAP225
Cre01.g051250,DLE1
Cre01.g051400,ERD2A
Cre01.g051800,AST2
Cre01.g051900,RIP1
Cre01.g051950,ASP2
Cre01.g052000,ZNG1
Cre01.g052050,UCC1
Cre01.g052100,PRPL18
Cre01.g052150,FAP87
Cre01.g052250,TRXX1
Cre01.g052300,E2F1
Cre01.g052350,MRPL20
Cre01.g052400,CCB3
Cre01.g052650,VIP2
Cre01.g052950,PSO2
Cre01.g053000,GPD2
Cre01.g053150,GPD3
Cre01.g053300,AIH1
Cre01.g053600,MRPL27
Cre01.g053750,LPL3
Cre01.g054150,NTRC1
Cre01.g054250,CYP743A1
Cre01.g055200,CPL7
Cre01.g055408,ACS2
Cre01.g055420,PP2A1
Cre01.g055453,ALS2
Cre01.g055550,COX11
Cre01.g058521,ALG11
Cre01.g061077,CGL93
Cre01.g062172,HBV1
Cre01.g065822,IFT122
Cre01.g066187,ZIP6
Cre01.g066552,TRXF1
Cre01.g066917,LHCBM1
Cre01.g068012,PPR5
Cre01.g069107,COX191
Cre01.g069472,TSC2
Cre01.g071662,ACS1
Cre02.g073200,THD1
Cre02.g073500,FAP241
Cre02.g073650,PRP19
Cre02.g073700,UROD3
Cre02.g073750,KLP1
Cre02.g073850,LPA19
Cre02.g074000,POC18
Cre02.g074150,HKR1
Cre02.g074370,CDPK8
